"slot_key","parcours","intitule_metier","questions_sources","regle_statut","prefixe_redaction","role_llm","source_of_truth","usage_prompt","usage_ui","cta_pilote","cta_label","doc_type","references_ai_act","contraintes_redaction"
"quick_win_1","standard","Registre centralisé des systèmes d'IA","E5.N9.Q7","NON si réponse explicite Non. OUI si réponse Oui et au moins un des champs conditionnels registry_type ou system_name est renseigné et non vide. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Traçabilité et documentation selon la qualification du système ; article 16 ou 26 selon le rôle","Recommandation de gouvernance et de traçabilité ; ne pas utiliser ce slot comme fondement du niveau de risque ; File Search ne remplace jamais les faits questionnaire."
"quick_win_2","standard","Surveillance humaine","E5.N9.Q8","NON si réponse explicite Non. OUI si réponse Oui et champs conditionnels supervisor_name et supervisor_role tous deux renseignés et non vides. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 14 du Règlement (UE) 2024/1689 ; article 26 si obligations du déployeur","Rester centré sur la supervision humaine ; ne pas inventer de responsable ou de rôle ; ne pas confondre avec une obligation générale de gouvernance."
"quick_win_3","standard","Instructions système / prompts / garde-fous","E5.N9.Q3","OUI si réponse Oui. NON si réponse Non. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Documentation et maîtrise du comportement du système selon la qualification ; article 11 en complément si système à haut risque","Traiter uniquement les instructions système, prompts et garde-fous ; ne pas confondre avec interdit_3 ; ne pas extrapoler au-delà des réponses fournies."
"priorite_1","standard","Documentation technique","E5.N9.Q4","OUI si réponse Oui. NON si réponse Non. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 11 et Annexe IV du Règlement (UE) 2024/1689","Référence de conformité surtout pertinente pour les systèmes à haut risque ; ne pas inventer de documentation non mentionnée."
"priorite_2","standard","Information des personnes et marquage / transparence du contenu","E6.N10.Q1; E6.N10.Q2","OUI uniquement si les deux questions sont répondues positivement. NON si au moins une réponse est explicitement Non. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 50 du Règlement (UE) 2024/1689 — obligations de transparence","Couvre à la fois l'information des personnes et le marquage / la transparence du contenu ; ne pas utiliser l'article 13 par défaut ; selon le cas, l'analyse peut relever notamment des paragraphes 50(1), 50(2), 50(3) ou 50(4)."
"priorite_3","standard","Qualité des données / procédures","E5.N9.Q6","NON si réponse explicite Non. OUI si réponse Oui et champ conditionnel procedures_details renseigné et non vide. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 10 du Règlement (UE) 2024/1689","Référence principale pour la qualité et la gouvernance des données ; ne pas inventer de procédures si les détails sont absents."
"action_1","standard","Système de gestion des risques","E5.N9.Q1","OUI si réponse Oui. NON si réponse Non. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 9 du Règlement (UE) 2024/1689","Ne pas utiliser ce slot pour justifier à lui seul le classement high-risk ; il s'agit d'une obligation de conformité, pas du fondement du niveau."
"action_2","standard","Exactitude, robustesse, cybersécurité","E5.N9.Q9","NON si réponse explicite Non. OUI si réponse Oui et champ conditionnel security_details renseigné et non vide. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 15 du Règlement (UE) 2024/1689","Référence principale pour exactitude, robustesse et cybersécurité ; ne pas confondre avec le simple suivi organisationnel."
"action_3","standard","Formations AI Act / maîtrise de l'IA","E4.N8.Q12","OUI si réponse Oui. NON si réponse Non. Sinon Information insuffisante.","Préfixe imposé par l'application : « OUI : », « NON : » ou « Information insuffisante : »","explication_sous_prefixe_fixe","app_slot_statuses","statut_injecte","rapport_nextsteps","code+llm","N/A","N/A","Article 4 du Règlement (UE) 2024/1689 ; article 95 pour les codes de conduite volontaires","Article 4 est la référence transversale la plus robuste ; l'article 95 peut appuyer une logique volontaire de bonnes pratiques, surtout hors haut risque."
"interdit_1","interdit","Motif principal d'interdiction","E4.N7.Q2.1; E4.N7.Q3; E4.N7.Q3.1","N/A","N/A","context_only_not_primary_ui_source","app_interdit1_builder","context_only","panneau_interdit","code","N/A","N/A","Article 5 du Règlement (UE) 2024/1689","Fondement juridique principal et suffisant du cas interdit ; affichage principal déterministe à partir du questionnaire ; ne pas traiter comme un slot OUI/NON ; ne pas le transformer en paragraphe LLM homogène avec interdit_2 et interdit_3."
"interdit_2","interdit","Preuve d'arrêt et traçabilité","N/A","N/A","N/A","not_for_ui_generation","product_copy","copy_produit_seulement","panneau_interdit; todo; dossier","code","Compléter la preuve d'arrêt du système","stopping_proof","Article 5 du Règlement (UE) 2024/1689 — interdiction de mise sur le marché, de mise en service ou d'utilisation","La preuve d'arrêt ou de non-déploiement est une traduction opérationnelle prudente du respect de l'interdiction ; ne pas utiliser Titre/Chapitre XII comme référence produit ; ne pas présenter ce champ comme une deuxième interdiction autonome."
"interdit_3","interdit","Instructions système, prompts et garde-fous","N/A","N/A","N/A","not_for_ui_generation","product_copy","copy_produit_seulement","panneau_interdit; todo; dossier","code","Définir les instructions système & prompts","system_prompt","Article 5 du Règlement (UE) 2024/1689 — interdiction du cas d'usage et nécessité d'empêcher son lancement ou sa réactivation","Les garde-fous techniques relèvent d'une sécurisation du respect de l'interdiction ; éviter de basculer dans une logique haut risque ; ne pas présenter ce champ comme une troisième pratique interdite autonome."
